"_unit_id"	"_created_at"	"_id"	"_started_at"	"_tainted"	"_channel"	"_trust"	"_worker_id"	"_country"	"_region"	"_city"	"_ip"	"describe_the_situation_in_indonesian"	"image_url"	"category"	"label"
627513265	"12/17/2014 12:57:34"	1504650271	"12/17/2014 12:55:32"	"false"	"goldtasks"	1	28851960	"IDN"	8	"Malang"	"125.164.96.30"	"secangkir gelas diatas meja"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/01.pdf.jpg"	1	"di atas"
627513265	"12/17/2014 12:57:55"	1504650466	"12/17/2014 12:55:53"	"false"	"elite"	1	30555834	"IDN"	4	"Jakarta"	"202.152.202.135"	"sebuah cangkir berada di atas meja."	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/01.pdf.jpg"	1	"di atas"
627513265	"12/17/2014 12:59:48"	1504651434	"12/17/2014 12:58:50"	"false"	"elite"	1	30257608	"IDN"	30	"Bogor"	"180.252.81.112"	"cangkir diatas meja"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/01.pdf.jpg"	1	"di atas"
627513265	"12/17/2014 13:01:31"	1504652317	"12/17/2014 12:57:48"	"false"	"elite"	1	25620782	"IDN"	10	"Yogyakarta"	"118.97.15.67"	"sebuah cangkir diatas meja."	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/01.pdf.jpg"	1	"di atas"
627513265	"12/17/2014 13:01:55"	1504652533	"12/17/2014 12:59:01"	"false"	"neodev"	1	29785873	"IDN"	4	"Jakarta"	"180.214.232.67"	"Secangkir kopi atau teh diatas meja"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/01.pdf.jpg"	1	"di atas"
627513265	"12/17/2014 13:07:35"	1504655251	"12/17/2014 13:06:17"	"false"	"clixsense"	1	6330616	"IDN"	30	"Tangerang"	"180.243.228.228"	"cangkir diatas meja"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/01.pdf.jpg"	1	"di atas"
627513265	"12/17/2014 13:09:41"	1504656276	"12/17/2014 13:07:28"	"false"	"elite"	1	25913511	"IDN"			"39.230.92.8"	"Cangkir di atas meja"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/01.pdf.jpg"	1	"di atas"
627513265	"12/17/2014 13:10:54"	1504656890	"12/17/2014 13:08:59"	"false"	"elite"	1	25411600	"IDN"	4	"Jakarta"	"139.192.135.78"	"Sebuah cangkir di atas meja."	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/01.pdf.jpg"	1	"di atas"
627513265	"12/17/2014 13:12:05"	1504657496	"12/17/2014 13:10:25"	"false"	"neodev"	1	11298656	"IDN"	7	"Semarang"	"125.166.236.73"	"cangkir di atas meja"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/01.pdf.jpg"	1	"di atas"
627513265	"12/17/2014 13:13:19"	1504657940	"12/17/2014 13:10:38"	"false"	"neodev"	1	30541755	"IDN"	30	"Tangerang"	"114.79.37.121"	"cangkir dan porong di atas meja"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/01.pdf.jpg"	1	"di atas"
